CP 536905, 1271, 1263, 0, 0, 1, 0, 0
536984, 205773,0, 0, 0, 0, 0
CP 537005, 1272, 1263, 0, 0, 1, 0, 0
CP 537105, 1272, 1263, 0, 0, 1, 0, 0
537151, 205461,0, 0, 0, 0, 0
CP 537205, 1271, 1263, 0, 0, 1, 0, 0
CP 537305, 1271, 1262, 0, 0, 1, 0, 0
537317, 205464,0, 0, 0, 0, 0
CP 537405, 1272, 1262, 0, 0, 1, 0, 0
537484, 205780,0, 0, 0, 0, 0
CP 537505, 1271, 1262, 0, 0, 1, 0, 0
CP 537605, 1271, 1263, 0, 0, 1, 0, 0
537651, 205455,0, 0, 0, 0, 0
CP 537705, 1271, 1262, 0, 0, 1, 0, 0
CP 537805, 1271, 1263, 0, 0, 1, 0, 0
537817, 205745,0, 0, 0, 0, 0
CP 537905, 1273, 1263, 0, 0, 1, 0, 0
537984, 205447,0, 0, 0, 0, 0
CP 538005, 1271, 1263, 0, 0, 1, 0, 0
CP 538105, 1271, 1262, 0, 0, 1, 0, 0
538151, 205466,0, 0, 0, 0, 0
CP 538205, 1271, 1263, 0, 0, 1, 0, 0
CP 538305, 1271, 1263, 0, 0, 1, 0, 0
538317, 205785,0, 0, 0, 0, 0
CP 538405, 1272, 1263, 0, 0, 1, 0, 0
538484, 205491,0, 0, 0, 0, 0
CP 538505, 1272, 1263, 0, 0, 1, 0, 0
CP 538605, 1272, 1263, 0, 0, 1, 0, 0
538651, 205505,0, 0, 0, 0, 0
CP 538705, 1272, 1262, 0, 0, 1, 0, 0
CP 538805, 1272, 1263, 0, 0, 1, 0, 0
538817, 205852,0, 0, 0, 0, 0
CP 538905, 1272, 1263, 0, 0, 1, 0, 0
538984, 205535,0, 0, 0, 0, 0
CP 539005, 1271, 1262, 0, 0, 1, 0, 0
CP 539105, 1271, 1263, 0, 0, 1, 0, 0
539151, 205833,0, 0, 0, 0, 0
CP 539205, 1271, 1263, 0, 0, 1, 0, 0
CP 539305, 1271, 1263, 0, 0, 1, 0, 0
539317, 205505,0, 0, 0, 0, 0
CP 539405, 1272, 1262, 0, 0, 1, 0, 0
539484, 205792,0, 0, 0, 0, 0
CP 539505, 1271, 1262, 0, 0, 1, 0, 0
CP 539605, 1271, 1261, 0, 0, 1, 0, 0
539651, 205495,0, 0, 0, 0, 0
CP 539705, 1271, 1261, 0, 0, 1, 0, 0
CP 539805, 1271, 1262, 0, 0, 1, 0, 0
539818, 205503,0, 0, 0, 0, 0
CP 539905, 1272, 1263, 0, 0, 1, 0, 0
539984, 205822,0, 0, 0, 0, 0
CP 540005, 1271, 1262, 0, 0, 1, 0, 0
CP 540105, 1271, 1262, 0, 0, 1, 0, 0
540151, 205516,0, 0, 0, 0, 0
CP 540205, 1271, 1262, 0, 0, 1, 0, 0
CP 540305, 1272, 1262, 0, 0, 1, 0, 0
540317, 205795,0, 0, 0, 0, 0
CP 540405, 1271, 1262, 0, 0, 1, 0, 0
540484, 205499,0, 0, 0, 0, 0
CP 540505, 1271, 1263, 0, 0, 1, 0, 0
CP 540605, 1271, 1262, 0, 0, 1, 0, 0
540651, 205498,0, 0, 0, 0, 0
CP 540705, 1272, 1263, 0, 0, 1, 0, 0
CP 540805, 1271, 1263, 0, 0, 1, 0, 0
540817, 205823,0, 0, 0, 0, 0
CP 540905, 1271, 1263, 0, 0, 1, 0, 0
540984, 205503,0, 0, 0, 0, 0
CP 541005, 1272, 1263, 0, 0, 1, 0, 0
CP 541105, 1271, 1262, 0, 0, 1, 0, 0
541151, 205790,0, 0, 0, 0, 0
CP 541205, 1271, 1263, 0, 0, 1, 0, 0
CP 541305, 1272, 1263, 0, 0, 1, 0, 0
541317, 205467,0, 0, 0, 0, 0
CP 541405, 1271, 1262, 0, 0, 1, 0, 0
541484, 205802,0, 0, 0, 0, 0
CP 541505, 1272, 1263, 0, 0, 1, 0, 0
CP 541605, 1271, 1261, 0, 0, 1, 0, 0
541651, 205497,0, 0, 0, 0, 0
CP 541705, 1272, 1263, 0, 0, 1, 0, 0
CP 541805, 1271, 1262, 0, 0, 1, 0, 0
541818, 205487,0, 0, 0, 0, 0
CP 541905, 1272, 1262, 0, 0, 1, 0, 0
541984, 205777,0, 0, 0, 0, 0
